,id,appearances,introduced,blue_eyes,identity_num,alignment_num,orientation_num,status_num,introduced_month_num,hair_num,gender_num
1740,413219,1.0,1976.0,0,4,4,1,1,9,4,2
1747,532726,1.0,1976.0,0,1,2,1,1,3,3,4
1760,627410,1.0,1977.0,0,1,1,1,1,12,6,2
1780,16601,1.0,1977.0,0,4,2,1,1,7,5,2
1785,168390,1.0,1977.0,0,2,2,1,1,7,3,2
1790,509136,1.0,1977.0,0,2,3,1,1,6,9,2
1808,504437,1.0,1978.0,0,1,1,1,2,2,5,2
1813,611357,1.0,1978.0,0,1,4,1,1,1,5,2
1822,558529,1.0,1978.0,0,4,2,1,1,5,4,2
1840,15953,1.0,1979.0,1,2,4,1,1,4,6,2
1852,24327,1.0,1979.0,0,2,2,1,1,11,3,2
1854,16012,1.0,1979.0,0,3,2,1,2,2,4,2
1860,29878,1.0,1979.0,0,2,2,1,2,6,8,1
1864,98831,1.0,1979.0,0,1,3,1,2,2,3,2
1873,24330,1.0,1979.0,0,2,2,1,1,7,3,2
1878,24654,1.0,1980.0,0,3,4,1,1,5,9,2
1901,24652,1.0,1980.0,0,4,4,1,1,5,9,2
1911,88972,1.0,1980.0,0,4,4,1,1,6,5,2
1912,289329,1.0,1980.0,1,3,1,1,1,9,5,2
1916,15202,1.0,1980.0,0,4,4,1,1,3,3,2
1919,289328,1.0,1980.0,1,1,1,1,1,9,9,2
1921,329883,1.0,1980.0,0,1,4,1,1,2,5,2
1949,32171,1.0,1981.0,0,4,1,1,1,1,5,2
1951,489766,1.0,1981.0,0,4,4,1,1,3,6,1
1970,15300,1.0,1981.0,1,4,3,1,1,4,4,1
1974,7708,1.0,1981.0,0,2,2,1,1,2,6,2
1983,488832,1.0,1982.0,0,2,1,1,1,11,4,2
1984,243606,1.0,1982.0,0,4,4,1,1,8,6,2
1987,426725,1.0,1982.0,0,1,1,1,1,2,6,1
1989,560201,1.0,1982.0,0,2,2,1,1,6,3,2
1991,581774,1.0,1982.0,0,2,2,1,1,1,3,2
1994,683357,1.0,1982.0,1,1,2,1,1,12,1,2
2001,18838,1.0,1982.0,0,4,2,1,1,11,5,2
2005,488829,1.0,1982.0,0,1,1,1,1,11,6,1
2015,425188,1.0,1982.0,0,1,1,1,1,5,2,1
2026,18580,1.0,1982.0,0,4,2,1,1,1,6,2
2028,166236,1.0,1983.0,0,3,2,1,1,8,3,2
2032,300033,1.0,1983.0,0,4,3,1,1,12,6,2
2036,86570,1.0,1983.0,0,1,2,1,1,1,5,1
2039,663625,1.0,1983.0,0,1,4,1,1,8,5,2
2042,628118,1.0,1983.0,0,4,4,1,1,10,5,2
2045,604042,1.0,1983.0,1,1,2,1,2,8,5,1
2046,594230,1.0,1983.0,0,4,2,1,1,12,8,2
2048,438180,1.0,1983.0,0,1,3,1,2,1,4,1
2051,706077,1.0,1983.0,0,2,2,1,1,10,9,2
2054,663631,1.0,1983.0,0,1,4,1,1,8,9,2
2063,400056,1.0,1984.0,1,4,1,1,1,8,9,2
2080,69800,1.0,1984.0,0,1,4,1,1,6,6,2
2084,732080,1.0,1984.0,0,3,3,1,1,8,2,1
2092,556351,1.0,1984.0,0,1,1,1,1,1,2,1
2099,462271,1.0,1985.0,0,3,1,1,1,4,4,1
2108,479985,1.0,1985.0,0,1,4,1,1,4,5,2
2110,15580,1.0,1985.0,0,4,4,1,1,10,4,4
2114,16010,1.0,1985.0,0,4,2,1,1,12,6,2
2115,18398,1.0,1985.0,1,1,3,1,2,5,5,1
2118,597543,1.0,1985.0,0,1,2,1,1,6,5,2
2124,298290,1.0,1985.0,0,2,4,1,1,4,5,1
2128,479978,1.0,1985.0,0,1,4,1,1,4,6,1
2131,479989,1.0,1985.0,0,1,4,1,1,4,1,2
2135,280792,1.0,1985.0,0,4,4,1,1,10,1,1
2142,18397,1.0,1985.0,1,2,4,1,2,5,5,1
2150,23936,1.0,1985.0,0,1,3,1,2,4,6,2
2152,554878,1.0,1985.0,0,3,3,1,1,7,5,2
2154,604196,1.0,1986.0,1,1,4,1,1,2,5,2
2157,409450,1.0,1986.0,0,4,2,1,1,1,3,2
2164,88707,1.0,1986.0,0,1,2,1,1,1,9,2
2171,603130,1.0,1986.0,0,1,2,1,2,1,5,2
2174,603129,1.0,1986.0,1,1,1,1,1,1,8,2
2176,481588,1.0,1986.0,1,1,4,1,2,10,6,2
2177,603131,1.0,1986.0,0,1,2,1,2,1,8,2
2178,477636,1.0,1986.0,0,1,2,1,2,6,5,2
2179,477868,1.0,1986.0,0,1,2,1,2,6,6,2
2183,477846,1.0,1986.0,1,1,4,1,1,6,9,1
2195,557090,1.0,1986.0,0,1,2,1,1,5,5,2
2203,18475,1.0,1987.0,0,2,4,1,1,5,6,2
2207,496044,1.0,1987.0,0,3,4,1,1,4,6,2
2208,345713,1.0,1987.0,0,4,4,1,1,7,5,2
2216,17305,1.0,1987.0,0,4,2,1,1,6,5,2
2238,493747,1.0,1987.0,0,1,4,1,1,4,5,1
2239,14602,1.0,1987.0,1,2,2,1,2,2,1,1
2242,608674,1.0,1987.0,0,1,1,1,2,12,1,1
2253,746037,1.0,1987.0,0,3,3,1,1,11,3,2
2255,345715,1.0,1987.0,0,4,4,1,1,7,5,2
2256,495613,1.0,1987.0,0,1,4,1,1,4,6,4
2260,446075,1.0,1988.0,0,3,2,1,1,9,5,2
2271,18592,1.0,1988.0,0,1,2,1,1,5,3,2
2277,27848,1.0,1988.0,0,2,4,1,1,12,8,2
2283,494128,1.0,1988.0,1,4,2,1,1,11,1,1
2291,18788,1.0,1988.0,0,2,2,1,1,5,3,1
2299,502431,1.0,1988.0,0,1,4,1,1,11,1,2
2302,419398,1.0,1988.0,0,1,3,1,2,4,5,2
2310,554889,1.0,1988.0,0,1,1,1,1,9,5,2
2312,16612,1.0,1988.0,0,2,1,1,1,8,8,1
2323,288909,1.0,1988.0,1,3,2,1,1,12,5,2
2342,579215,1.0,1988.0,0,3,2,1,1,5,1,1
2344,72555,1.0,1988.0,0,2,1,1,1,3,5,2
2347,280846,1.0,1988.0,0,3,4,1,2,5,9,2
2350,288910,1.0,1988.0,1,3,2,1,1,12,3,2
2351,15357,1.0,1989.0,0,3,4,1,1,9,9,2
2352,280471,1.0,1989.0,0,4,4,1,1,12,6,2
2354,706227,1.0,1989.0,0,2,2,1,1,5,6,2
2355,121792,1.0,1989.0,0,3,1,1,1,11,6,2
2356,280288,1.0,1989.0,1,4,4,1,1,7,5,1
2357,116225,1.0,1989.0,1,4,2,1,2,7,5,1
2361,506002,1.0,1989.0,1,3,1,1,1,6,4,2
2363,280469,1.0,1989.0,0,4,4,1,1,12,6,2
2367,280802,1.0,1989.0,0,2,4,1,1,12,6,2
2369,408358,1.0,1989.0,1,4,1,1,2,9,1,1
2386,413916,1.0,1989.0,0,1,2,1,1,1,4,2
2388,555116,1.0,1989.0,0,1,3,1,2,4,1,1
2399,698930,1.0,1989.0,0,1,4,1,2,3,6,2
2401,392658,1.0,1989.0,1,2,1,1,1,12,1,2
2407,505998,1.0,1989.0,1,1,1,1,1,6,4,2
2410,280805,1.0,1989.0,0,4,4,1,1,12,9,2
2423,36267,1.0,1989.0,1,3,1,1,1,3,6,1
2425,605342,1.0,1989.0,0,1,1,1,1,12,5,2
2430,18703,1.0,1989.0,0,2,3,1,1,12,8,1
2442,29145,1.0,1990.0,0,2,4,1,1,8,5,1
2459,39499,1.0,1990.0,0,2,2,1,2,6,4,2
2460,664012,1.0,1990.0,1,2,2,1,2,11,8,2
2461,491888,1.0,1990.0,0,1,2,1,1,3,3,2
2498,555055,1.0,1990.0,0,1,4,1,1,12,8,2
2504,611366,1.0,1990.0,0,1,4,1,1,8,5,2
2514,524760,1.0,1990.0,1,1,3,1,1,4,9,2
2517,41601,1.0,1990.0,0,4,3,1,1,11,4,2
2529,280839,1.0,1990.0,1,4,4,1,1,11,1,2
2544,492374,1.0,1990.0,0,1,4,1,1,2,6,2
2545,2399,1.0,1990.0,0,2,2,1,2,12,3,4
2558,18386,1.0,1991.0,0,2,3,1,1,7,3,2
2562,400054,1.0,1991.0,0,4,2,1,1,10,1,1
2564,16283,1.0,1991.0,1,3,1,1,1,1,3,2
2567,725375,1.0,1991.0,0,4,3,1,1,3,3,4
2573,117212,1.0,1991.0,0,1,1,1,1,9,6,1
2576,101363,1.0,1991.0,0,2,2,1,1,11,6,2
2577,289632,1.0,1991.0,1,3,1,1,1,12,5,2
2578,72931,1.0,1991.0,1,4,4,1,1,8,1,1
2586,117217,1.0,1991.0,0,1,1,1,1,9,6,1
2591,604513,1.0,1991.0,0,1,1,1,1,6,4,2
2593,251473,1.0,1991.0,0,4,2,1,1,4,11,2
2603,566942,1.0,1991.0,0,4,3,1,2,3,6,2
2613,725376,1.0,1991.0,0,4,3,1,1,3,3,4
2614,289631,1.0,1991.0,1,3,1,1,1,12,9,2
2639,94350,1.0,1991.0,0,2,2,1,1,8,5,2
2641,43102,1.0,1991.0,0,2,2,1,1,6,5,1
2642,688833,1.0,1991.0,0,4,4,1,1,11,5,2
2649,611704,1.0,1991.0,0,2,2,1,2,3,1,1
2650,725377,1.0,1991.0,0,3,3,1,1,3,3,4
2652,32727,1.0,1992.0,0,2,1,1,1,1,11,1
2654,3825,1.0,1992.0,0,2,4,1,1,8,5,1
2662,555056,1.0,1992.0,0,2,4,1,1,9,4,2
2664,29106,1.0,1992.0,0,4,4,1,1,6,1,2
2678,491383,1.0,1992.0,0,2,2,1,1,11,3,2
2699,526278,1.0,1992.0,0,1,2,1,1,7,5,2
2708,695075,1.0,1992.0,0,1,4,1,1,5,5,2
2713,630112,1.0,1992.0,0,1,4,1,1,11,9,2
2731,708884,1.0,1992.0,1,3,3,1,1,3,1,1
2733,15078,1.0,1992.0,1,2,1,1,1,12,3,1
2734,63569,1.0,1992.0,0,2,2,1,1,10,5,2
2742,556368,1.0,1992.0,1,4,2,1,2,10,4,2
2749,18411,1.0,1993.0,0,3,2,1,1,5,3,2
2750,29823,1.0,1993.0,0,3,4,1,1,6,6,2
2754,501873,1.0,1993.0,0,3,3,1,1,11,1,1
2755,346935,1.0,1993.0,0,3,4,1,1,6,3,2
2760,20967,1.0,1993.0,1,4,1,1,1,5,3,1
2764,18790,1.0,1993.0,0,3,2,1,2,8,6,2
2766,16261,1.0,1993.0,0,2,3,1,2,10,3,2
2769,250133,1.0,1993.0,0,2,3,1,1,5,1,2
2770,346194,1.0,1993.0,0,2,4,1,1,2,5,2
2772,28294,1.0,1993.0,0,2,2,1,1,8,3,2
2773,658921,1.0,1993.0,0,1,4,1,1,8,5,2
2774,280678,1.0,1993.0,0,4,4,1,1,8,5,2
2775,248178,1.0,1993.0,1,2,3,1,2,5,5,1
2778,501728,1.0,1993.0,0,2,2,1,1,3,4,4
2779,335163,1.0,1993.0,0,2,2,1,1,4,1,2
2781,101652,1.0,1993.0,0,2,2,1,1,6,4,2
2795,462215,1.0,1993.0,0,1,2,1,1,6,6,2
2798,462296,1.0,1993.0,0,2,2,1,1,7,9,2
2804,461457,1.0,1993.0,1,4,2,1,1,1,1,2
2808,506004,1.0,1993.0,1,1,1,1,1,8,4,2
2809,300888,1.0,1993.0,0,4,2,1,2,7,5,2
2813,316004,1.0,1993.0,0,2,2,1,1,1,3,2
2815,16512,1.0,1993.0,1,2,3,1,1,2,6,1
2817,289636,1.0,1993.0,1,1,1,1,1,8,5,2
2822,62448,1.0,1993.0,0,2,2,1,1,9,3,2
2826,455449,1.0,1993.0,0,2,1,1,2,5,5,1
2829,30185,1.0,1993.0,0,4,4,1,1,7,6,2
2830,557943,1.0,1993.0,0,2,4,1,1,3,3,2
2831,18754,1.0,1993.0,0,2,2,1,1,9,3,2
2834,506154,1.0,1993.0,1,3,1,1,1,1,5,1
2835,705659,1.0,1993.0,0,1,2,1,1,11,10,2
2837,491878,1.0,1993.0,0,1,2,1,1,4,3,2
2843,30095,1.0,1993.0,0,2,3,1,2,12,3,1
2851,560550,1.0,1993.0,0,2,2,1,1,8,3,2
2854,566828,1.0,1993.0,1,1,3,1,1,5,6,1
2855,501276,1.0,1993.0,0,1,1,1,1,8,5,2
2859,28321,1.0,1993.0,1,4,2,1,1,8,6,1
2863,692048,1.0,1993.0,1,1,4,1,1,7,8,1
2865,16966,1.0,1993.0,0,2,3,1,1,2,3,2
2873,308691,1.0,1993.0,0,2,2,1,1,11,4,1
2875,19332,1.0,1993.0,0,2,4,1,1,3,5,1
2879,282868,1.0,1993.0,0,2,3,1,1,4,3,4
2882,511185,1.0,1993.0,0,2,2,1,1,6,5,2
2885,21771,1.0,1993.0,0,2,2,1,1,6,3,4
2888,69914,1.0,1993.0,0,2,1,1,1,8,9,2
2889,560960,1.0,1993.0,0,2,2,1,1,8,5,4
2892,116257,1.0,1994.0,0,2,3,1,1,12,4,2
2894,116255,1.0,1994.0,1,2,3,1,1,12,4,2
2895,37008,1.0,1994.0,0,4,4,1,1,3,6,2
2896,18684,1.0,1994.0,0,3,3,1,1,10,6,1
2897,121695,1.0,1994.0,0,2,2,1,1,7,6,2
2906,419548,1.0,1994.0,1,3,4,1,1,8,10,1
2908,44742,1.0,1994.0,1,4,2,1,1,5,5,1
2910,462486,1.0,1994.0,0,1,2,1,1,1,3,4
2915,706823,1.0,1994.0,0,1,2,1,1,10,5,2
2917,346228,1.0,1994.0,1,1,2,1,2,1,1,2
2921,491889,1.0,1994.0,0,1,2,1,1,10,3,2
2922,640855,1.0,1994.0,0,1,2,1,1,9,5,2
2923,505988,1.0,1994.0,1,2,2,1,1,3,5,2
2924,560198,1.0,1994.0,0,4,2,1,1,4,3,2
2929,171434,1.0,1994.0,0,1,1,1,1,10,9,2
2931,636334,1.0,1994.0,0,1,4,1,1,11,6,2
2935,505741,1.0,1994.0,0,1,1,1,1,3,5,2
2937,560204,1.0,1994.0,0,2,2,1,1,4,4,2
2945,300304,1.0,1994.0,1,4,1,1,2,6,6,1
2951,469216,1.0,1994.0,0,2,2,1,1,5,3,2
2954,554865,1.0,1994.0,0,1,1,1,1,10,5,1
2965,106250,1.0,1994.0,1,1,2,1,1,4,5,2
2974,725177,1.0,1994.0,0,1,3,1,1,8,5,4
2983,16668,1.0,1994.0,1,2,2,1,1,5,1,1
2986,469217,1.0,1994.0,0,2,2,1,1,5,9,2
2989,707011,1.0,1994.0,0,2,2,1,1,2,3,3
2996,550177,1.0,1994.0,1,2,2,1,1,3,5,1
3004,30348,1.0,1994.0,1,2,1,1,2,1,5,1
3005,84871,1.0,1994.0,1,2,2,1,1,4,3,2
3008,19224,1.0,1994.0,1,1,4,1,1,5,1,1
3011,79470,1.0,1994.0,0,2,2,1,1,7,5,1
3016,480851,1.0,1994.0,0,3,4,1,2,6,5,1
3017,704052,1.0,1995.0,1,3,3,1,1,10,1,1
3018,62359,1.0,1995.0,0,2,2,1,1,9,3,2
3020,46983,1.0,1995.0,0,2,4,1,1,12,5,1
3021,387135,1.0,1995.0,0,4,2,1,1,1,3,2
3031,303700,1.0,1995.0,0,2,3,1,1,4,5,2
3033,18327,1.0,1995.0,0,3,2,1,1,1,5,2
3034,16502,1.0,1995.0,0,4,4,1,2,3,1,2
3040,556373,1.0,1995.0,0,4,3,1,2,5,5,1
3045,101624,1.0,1995.0,0,2,2,1,1,2,5,2
3048,387136,1.0,1995.0,0,4,2,1,1,1,3,2
3062,263237,1.0,1995.0,1,1,1,1,2,2,4,1
3065,507273,1.0,1995.0,0,1,1,1,1,5,4,2
3074,658421,1.0,1995.0,0,2,2,1,1,5,3,2
3075,35755,1.0,1995.0,0,2,1,1,1,12,1,1
3077,748376,1.0,1995.0,0,2,2,1,1,11,3,2
3085,705586,1.0,1995.0,0,1,3,1,1,10,6,1
3086,558345,1.0,1995.0,0,2,4,1,1,12,10,4
3099,263165,1.0,1995.0,1,3,1,1,1,1,8,2
3104,418108,1.0,1996.0,1,3,1,1,1,2,3,2
3105,30490,1.0,1996.0,0,1,1,1,1,1,8,1
3120,19315,1.0,1996.0,1,2,1,1,1,11,1,1
3123,247479,1.0,1996.0,0,4,2,1,1,7,5,1
3124,626037,1.0,1996.0,0,1,1,1,1,2,8,2
3125,625738,1.0,1996.0,0,1,3,1,1,1,3,2
3132,466594,1.0,1996.0,0,1,1,1,1,2,1,1
3137,116757,1.0,1996.0,1,4,3,1,1,5,1,1
3138,659071,1.0,1996.0,0,2,4,1,1,10,1,2
3140,43890,1.0,1996.0,0,1,3,1,1,8,5,2
3144,659074,1.0,1996.0,0,2,4,1,1,10,3,2
3153,555135,1.0,1996.0,0,2,2,1,2,4,3,1
3169,15779,1.0,1996.0,0,2,2,1,1,9,8,1
3172,16881,1.0,1997.0,0,2,1,1,1,6,5,2
3174,668705,1.0,1997.0,1,3,2,1,1,3,1,1
3177,396714,1.0,1997.0,0,2,4,1,1,6,5,1
3186,724396,1.0,1997.0,0,1,3,1,1,4,3,2
3191,473880,1.0,1997.0,0,1,2,1,1,6,3,4
3203,29864,1.0,1997.0,0,4,4,1,2,6,4,1
3204,424107,1.0,1997.0,0,4,2,1,1,12,3,4
3207,427057,1.0,1997.0,0,1,1,1,2,3,6,1
3224,402720,1.0,1997.0,1,3,4,1,1,7,6,2
3227,555097,1.0,1997.0,1,2,4,1,2,10,6,2
3228,249116,1.0,1997.0,0,2,2,1,1,3,1,2
3234,424092,1.0,1997.0,0,4,2,1,1,6,3,4
3242,424093,1.0,1997.0,0,4,2,1,1,6,3,4
3243,424108,1.0,1997.0,0,4,2,1,1,12,3,4
3244,444963,1.0,1997.0,0,2,1,1,2,12,6,2
3248,427058,1.0,1997.0,0,1,1,1,2,3,1,2
3254,555658,1.0,1997.0,0,2,3,1,1,5,3,2
3255,483254,1.0,1997.0,0,1,4,1,1,5,12,2
3268,511812,1.0,1998.0,1,2,1,1,1,12,1,2
3270,402627,1.0,1998.0,0,4,4,1,1,7,6,2
3271,16806,1.0,1998.0,0,2,1,1,1,6,5,2
3278,34589,1.0,1998.0,0,4,2,1,1,4,1,2
3279,673372,1.0,1998.0,0,4,4,1,1,8,5,1
3283,16250,1.0,1998.0,0,4,2,1,1,9,3,2
3291,27061,1.0,1998.0,1,2,2,1,1,3,6,2
3293,745812,1.0,1998.0,0,3,2,1,1,2,9,2
3299,79517,1.0,1998.0,0,2,4,1,1,7,3,2
3300,641828,1.0,1998.0,0,4,1,1,1,7,5,2
3309,282473,1.0,1998.0,0,4,4,1,1,10,6,2
3312,673928,1.0,1998.0,1,1,4,1,1,3,1,1
3314,671116,1.0,1998.0,1,1,1,1,1,10,6,1
3316,483282,1.0,1998.0,0,1,4,1,1,2,5,2
3317,483267,1.0,1998.0,1,1,4,1,2,2,5,2
3318,678139,1.0,1998.0,0,4,1,1,1,4,5,1
3319,682403,1.0,1998.0,0,1,1,1,1,4,5,1
3322,680642,1.0,1998.0,0,2,2,1,1,7,3,4
3323,682468,1.0,1998.0,0,1,2,1,1,4,5,2
3325,480779,1.0,1998.0,0,2,4,1,2,6,8,2
3327,677411,1.0,1998.0,1,1,4,1,1,12,6,2
3332,680637,1.0,1998.0,0,1,3,1,1,7,8,1
3339,682283,1.0,1999.0,0,3,4,1,1,7,6,2
3341,18813,1.0,1999.0,0,4,4,1,1,11,5,2
3343,506267,1.0,1999.0,1,2,1,1,1,4,9,2
3346,483422,1.0,1999.0,0,1,4,1,2,12,6,2
3349,483630,1.0,1999.0,0,1,1,1,1,5,5,2
3350,491079,1.0,1999.0,1,1,2,1,1,4,5,2
3351,483710,1.0,1999.0,0,1,3,1,1,5,6,1
3352,554830,1.0,1999.0,0,1,1,1,1,6,5,1
3353,682208,1.0,1999.0,1,1,4,1,1,7,1,1
3355,684956,1.0,1999.0,1,4,1,1,1,7,5,1
3358,410068,1.0,1999.0,1,2,3,1,2,3,1,2
3360,744230,1.0,1999.0,0,3,4,1,1,4,4,2
3361,554825,1.0,1999.0,1,1,3,1,1,6,8,2
3365,483556,1.0,1999.0,1,1,4,1,1,7,13,1
3369,483679,1.0,1999.0,1,1,1,1,1,5,1,1
3373,682206,1.0,1999.0,0,1,4,1,1,7,6,2
3374,583558,1.0,1999.0,0,2,2,1,1,6,3,2
3380,19619,1.0,1999.0,1,4,1,1,1,8,4,1
3381,16673,1.0,1999.0,0,2,2,1,1,12,3,2
3386,706215,1.0,1999.0,0,2,2,1,1,1,6,2
3390,390654,1.0,1999.0,1,1,1,1,1,5,1,2
3394,681783,1.0,1999.0,0,4,2,1,1,3,3,2
3399,555058,1.0,1999.0,0,2,4,1,1,12,4,2
3400,555059,1.0,1999.0,0,2,4,1,1,12,4,2
3406,491097,1.0,1999.0,0,1,4,1,1,11,3,2
